& 0.70& 1.06& 1.96& \textbf{0.50}& \textbf{0.69}& \textbf{1.24}\\
airplane& 0.36& 0.50& 0.77& \textbf{0.22}& \textbf{0.30}& \textbf{0.49}\\
bag& 0.62& 0.93& 1.70& \textbf{0.45}& \textbf{0.62}& \textbf{1.00}\\
basket& 0.81& 1.05& 2.13& \textbf{0.68}& \textbf{0.78}& \textbf{1.28}\\
bathtub& 0.72& 1.11& 1.80& \textbf{0.53}& \textbf{0.72}& \textbf{1.18}\\
bed& 0.92& 1.35& 2.53& \textbf{0.63}& \textbf{0.86}& \textbf{1.64}\\
bench& 0.48& 0.65& 1.15& \textbf{0.31}& \textbf{0.37}& \textbf{0.64}\\
birdhouse& 1.06& 1.69& 3.04& \textbf{0.81}& \textbf{1.18}& \textbf{2.08}\\
bookshelf& 0.78& 1.17& 1.94& \textbf{0.61}& \textbf{0.79}& \textbf{1.38}\\
bottle& 0.44& 0.80& 1.54& \textbf{0.31}& \textbf{0.55}& \textbf{1.07}\\
bowl& 0.76& 0.96& 1.81& \textbf{0.60}& \textbf{0.63}& \textbf{0.92}\\
bus& 0.49& 0.64& 0.87& \textbf{0.43}& \textbf{0.52}& \textbf{0.65}\\
cabinet& 0.66& 0.83& 1.27& \textbf{0.59}& \textbf{0.65}& \textbf{0.92}\\
camera& 1.27& 2.36& 4.31& \textbf{0.80}& \textbf{1.55}& \textbf{3.15}\\
can& 0.69& 1.23& 2.23& \textbf{0.61}& \textbf{0.94}& \textbf{1.68}\\
cap& 0.55& 0.94& 1.99& \textbf{0.37}& \textbf{0.43}& \textbf{0.69}\\
car& 0.81& 1.01& 1.32& \textbf{0.65}& \textbf{0.79}& \textbf{1.00}\\
cellphone& 0.37& 0.49& 0.71& \textbf{0.33}& \textbf{0.36}& \textbf{0.44}\\
chair& 0.62& 0.94& 1.79& \textbf{0.41}& \textbf{0.56}& \textbf{1.12}\\
clock& 0.73& 0.99& 1.65& \textbf{0.53}& \textbf{0.68}& \textbf{1.18}\\
dishwasher& 0.63& 0.82& 1.69& \textbf{0.60}& \textbf{0.66}& \textbf{1.16}\\
display& 0.57& 0.90& 1.57& \textbf{0.41}& \textbf{0.53}& \textbf{0.89}\\
earphone& 0.94& 1.54& 4.15& \textbf{0.60}& \textbf{0.83}& \textbf{1.98}\\
faucet& 1.04& 1.83& 3.84& \textbf{0.47}& \textbf{0.93}& \textbf{2.14}\\
file cabinet& 0.78& 1.06& 1.83& \textbf{0.65}& \textbf{0.78}& \textbf{1.29}\\
flowerpot& 1.32& 1.80& 3.10& \textbf{0.89}& \textbf{1.16}& \textbf{2.01}\\
guitar& 0.18& 0.27& 0.47& \textbf{0.11}& \textbf{0.17}& \textbf{0.28}\\
helmet& 1.37& 2.40& 4.67& \textbf{0.76}& \textbf{1.24}& \textbf{3.03}\\
jar& 0.97& 1.52& 3.03& \textbf{0.65}& \textbf{0.98}& \textbf{2.01}\\
keyboard& 0.36& 0.45& 0.63& \textbf{0.28}& \textbf{0.32}& \textbf{0.37}\\
